[0.053s] Invoking command in '/home/newton/autonomous-robots/clearpath_workspace/build/clearpath_manipulators_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake /home/newton/autonomous-robots/clearpath_workspace/src/clearpath_common/clearpath_manipulators_description -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description
[0.548s] -- The C compiler identification is GNU 11.4.0
[0.548s] -- The CXX compiler identification is GNU 11.4.0
[0.548s] -- Detecting C compiler ABI info
[0.548s] -- Detecting C compiler ABI info - done
[0.548s] -- Check for working C compiler: /usr/bin/cc - skipped
[0.548s] -- Detecting C compile features
[0.548s] -- Detecting C compile features - done
[0.548s] -- Detecting CXX compiler ABI info
[0.652s] -- Detecting CXX compiler ABI info - done
[0.683s] -- Check for working CXX compiler: /usr/bin/c++ - skipped
[0.684s] -- Detecting CXX compile features
[0.685s] -- Detecting CXX compile features - done
[0.691s] -- Found ament_cmake: 1.3.11 (/opt/ros/humble/share/ament_cmake/cmake)
[1.056s] -- Found Python3: /usr/bin/python3 (found version "3.10.12") found components: Interpreter 
[1.201s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[1.469s] -- Configuring done
[1.710s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/urdf/arm/universal_robots.urdf.xacro
[1.728s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/urdf/gripper/franka_gripper.urdf.xacro
[1.745s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/urdf/gripper/kinova_2f_lite.urdf.xacro
[1.761s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/urdf/gripper/robotiq_2f_140.urdf.xacro
[1.777s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/urdf/gripper/robotiq_2f_85.urdf.xacro
[1.792s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/urdf/lift/ewellix.urdf.xacro
[1.807s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/arm/franka/control.yaml
[1.823s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/arm/franka/initial_positions.yaml
[1.836s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/arm/franka/joint_limits.yaml
[1.849s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/arm/franka/moveit_controllers.yaml
[1.864s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/arm/kinova_gen3_6dof/control.yaml
[1.881s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/arm/kinova_gen3_6dof/initial_positions.yaml
[1.895s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/arm/kinova_gen3_6dof/joint_limits.yaml
[1.915s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/arm/kinova_gen3_6dof/moveit_controllers.yaml
[1.944s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/arm/kinova_gen3_7dof/control.yaml
[1.966s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/arm/kinova_gen3_7dof/initial_positions.yaml
[1.988s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/arm/kinova_gen3_7dof/joint_limits.yaml
[2.003s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/arm/kinova_gen3_7dof/moveit_controllers.yaml
[2.024s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/arm/kinova_gen3_lite/control.yaml
[2.044s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/arm/kinova_gen3_lite/initial_positions.yaml
[2.067s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/arm/kinova_gen3_lite/joint_limits.yaml
[2.080s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/arm/kinova_gen3_lite/moveit_controllers.yaml
[2.094s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/arm/universal_robots/control.yaml
[2.112s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/arm/universal_robots/initial_positions.yaml
[2.130s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/arm/universal_robots/joint_limits.yaml
[2.154s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/arm/universal_robots/moveit_controllers.yaml
[2.185s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/gripper/franka_gripper/control.yaml
[2.220s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/gripper/franka_gripper/initial_positions.yaml
[2.237s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/gripper/franka_gripper/joint_limits.yaml
[2.261s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/gripper/franka_gripper/moveit_controllers.yaml
[2.284s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/gripper/kinova_2f_lite/control.yaml
[2.301s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/gripper/kinova_2f_lite/initial_positions.yaml
[2.318s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/gripper/kinova_2f_lite/joint_limits.yaml
[2.334s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/gripper/kinova_2f_lite/moveit_controllers.yaml
[2.348s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/gripper/robotiq_2f_140/control.yaml
[2.363s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/gripper/robotiq_2f_140/initial_positions.yaml
[2.376s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/gripper/robotiq_2f_140/joint_limits.yaml
[2.396s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/gripper/robotiq_2f_140/moveit_controllers.yaml
[2.418s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/gripper/robotiq_2f_85/control.yaml
[2.443s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/gripper/robotiq_2f_85/initial_positions.yaml
[2.467s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/gripper/robotiq_2f_85/joint_limits.yaml
[2.497s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/gripper/robotiq_2f_85/moveit_controllers.yaml
[2.515s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/lift/ewellix/control.yaml
[2.530s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/lift/ewellix/control_jpc.yaml
[2.551s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/lift/ewellix/control_jtc.yaml
[2.581s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/lift/ewellix/initial_positions.yaml
[2.596s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/lift/ewellix/joint_limits.yaml
[2.611s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/lift/ewellix/moveit_controllers.yaml
[2.626s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/lift/ewellix/moveit_controllers_jpc.yaml
[2.646s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/config/lift/ewellix/moveit_controllers_jtc.yaml
[2.669s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/srdf/arm/franka.srdf.xacro
[2.697s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/srdf/arm/kinova_gen3_6dof.srdf.xacro
[2.699s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/srdf/arm/kinova_gen3_7dof.srdf.xacro
[2.717s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/srdf/arm/kinova_gen3_lite.srdf.xacro
[2.734s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/srdf/arm/universal_robots.srdf.xacro
[2.751s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/srdf/gripper/franka_gripper.srdf.xacro
[2.769s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/srdf/gripper/kinova_2f_lite.srdf.xacro
[2.784s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/srdf/gripper/robotiq_2f_140.srdf.xacro
[2.795s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/srdf/gripper/robotiq_2f_85.srdf.xacro
[2.808s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/srdf/lift/ewellix.srdf.xacro
[2.821s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/launch/description.launch.py
[2.842s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/meshes/gripper/robotiq_2f_140_base_link.stl
[2.857s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/meshes/gripper/robotiq_2f_140_base_link_collision.stl
[2.871s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/meshes/gripper/robotiq_2f_140_coupling.stl
[2.887s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/meshes/gripper/robotiq_2f_140_coupling_collision.stl
[2.905s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/meshes/gripper/robotiq_2f_140_inner_finger.stl
[2.928s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/meshes/gripper/robotiq_2f_140_inner_finger_collision.stl
[2.947s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/meshes/gripper/robotiq_2f_140_inner_knuckle.stl
[2.967s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/meshes/gripper/robotiq_2f_140_inner_knuckle_collision.stl
[2.983s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/meshes/gripper/robotiq_2f_140_outer_finger.stl
[2.997s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/meshes/gripper/robotiq_2f_140_outer_finger_collision.stl
[3.011s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/meshes/gripper/robotiq_2f_140_outer_knuckle.stl
[3.025s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/meshes/gripper/robotiq_2f_140_outer_knuckle_collision.stl
[3.037s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/ament_index/resource_index/package_run_dependencies/clearpath_manipulators_description
[3.048s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/ament_index/resource_index/parent_prefix_path/clearpath_manipulators_description
[3.061s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/environment/ament_prefix_path.sh
[3.072s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/environment/ament_prefix_path.dsv
[3.082s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/environment/path.sh
[3.094s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/environment/path.dsv
[3.109s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/local_setup.bash
[3.120s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/local_setup.sh
[3.133s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/local_setup.zsh
[3.146s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/local_setup.dsv
[3.159s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/package.dsv
[3.171s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/ament_index/resource_index/packages/clearpath_manipulators_description
[3.184s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/cmake/clearpath_manipulators_descriptionConfig.cmake
[3.193s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/cmake/clearpath_manipulators_descriptionConfig-version.cmake
[3.204s] -- Symlinking: /home/newton/autonomous-robots/clearpath_workspace/install/clearpath_manipulators_description/share/clearpath_manipulators_description/package.xml
[3.219s] Invoked command in '/home/newton/autonomous-robots/clearpath_workspace/build/clearpath_manipulators_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/newton/autonomous-robots/clearpath_workspace/build/clearpath_manipulators_description
